platform,display_name,run_id,frame_id,latency_ms,resolution_width,resolution_height,fps_target,batch_size,backend,device_name,measurement_scope,include_transfers,timestamp_s,warmup,num_iters,notes
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,59,0.4342919996815908,128,128,180.0,1,cpu,x86_64,compute_only,False,0.026437168000029487,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,60,0.437058999978035,128,128,180.0,1,cpu,x86_64,compute_only,False,0.026874909000071057,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,61,0.43342000026314054,128,128,180.0,1,cpu,x86_64,compute_only,False,0.027309107000291988,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,62,0.5225059999247605,128,128,180.0,1,cpu,x86_64,compute_only,False,0.027832317000047624,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,63,0.43321099974491517,128,128,180.0,1,cpu,x86_64,compute_only,False,0.028266244999940682,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,64,0.4307340000195836,128,128,180.0,1,cpu,x86_64,compute_only,False,0.028697878000002675,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,65,0.4301889998714614,128,128,180.0,1,cpu,x86_64,compute_only,False,0.029128856000170344,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,66,0.43236000010438147,128,128,180.0,1,cpu,x86_64,compute_only,False,0.029562415000327746,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,67,0.5036900001869071,128,128,180.0,1,cpu,x86_64,compute_only,False,0.030066942000303243,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,68,0.43209000023125554,128,128,180.0,1,cpu,x86_64,compute_only,False,0.03049974600025962,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,69,0.44702500008497736,128,128,180.0,1,cpu,x86_64,compute_only,False,0.030947506000302383,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,70,0.43735000008382485,128,128,180.0,1,cpu,x86_64,compute_only,False,0.0313855730000796,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,71,0.43740399996750057,128,128,180.0,1,cpu,x86_64,compute_only,False,0.03182368200032215,100,1000,
CPU i7-13700,CPU i7-13700,CPU_i7-13700_128x128_20260507_220645,72,0.43985000002066954,128,128,180.0,1,cpu,x86_64,compute_only,False,0.03226425399998334,100,1000,
