timestamp_s,phase,target_fps,total_power_w,mem_used_mb
364.62247557,idle_measure,,5.98,2711.296875
364.672480041,idle_measure,,5.98,2711.296875
364.722476318,idle_measure,,5.98,2711.296875
364.772481429,idle_measure,,5.98,2711.296875
364.82247793,idle_measure,,5.98,2711.296875
364.872476032,idle_measure,,5.98,2711.296875
364.922479926,idle_measure,,5.98,2711.296875
364.972476172,idle_measure,,5.98,2711.296875
365.022478594,idle_measure,,5.98,2711.296875
365.07247628,idle_measure,,5.98,2711.296875
365.122476846,idle_measure,,5.98,2711.296875
365.172477668,idle_measure,,5.98,2711.296875
365.222480922,idle_measure,,5.98,2711.296875
365.27252293,idle_measure,,5.98,2712.2890625
365.322481254,idle_measure,,5.98,2712.2890625
365.372475899,idle_measure,,5.98,2712.2890625
365.42248389,idle_measure,,5.98,2712.2890625
365.472479271,idle_measure,,5.98,2712.2890625
365.522476594,idle_measure,,5.98,2712.2890625
365.572475767,idle_measure,,5.98,2712.2890625
365.62248406,idle_measure,,5.98,2712.2890625
365.672481345,idle_measure,,5.98,2712.2890625
365.722476294,idle_measure,,5.98,2712.2890625
365.772476843,idle_measure,,5.98,2712.2890625
365.822476272,idle_measure,,5.98,2712.2890625
365.872476661,idle_measure,,5.98,2712.2890625
365.922481275,idle_measure,,5.98,2712.2890625
365.972478112,idle_measure,,5.98,2712.2890625
366.022477573,idle_measure,,5.98,2712.2890625
366.072478538,idle_measure,,5.98,2712.2890625
366.122476271,idle_measure,,5.98,2712.2890625
366.172482548,idle_measure,,5.98,2712.2890625
366.222491034,idle_measure,,5.98,2712.2890625
366.272562722,idle_measure,,5.98,2712.2890625
366.322490756,idle_measure,,5.98,2711.7890625
366.372478921,idle_measure,,5.98,2711.7890625
366.42248043,idle_measure,,5.98,2711.7890625
366.472477107,idle_measure,,5.98,2711.7890625
366.522476845,idle_measure,,5.98,2711.7890625
366.572478785,idle_measure,,5.98,2711.7890625
366.622495511,idle_measure,,5.98,2711.7890625
366.672480298,idle_measure,,5.98,2711.7890625
366.722478399,idle_measure,,5.98,2711.7890625
366.772476211,idle_measure,,5.98,2711.7890625
366.822476712,idle_measure,,5.98,2711.7890625
366.872488541,idle_measure,,5.98,2711.7890625
366.922478161,idle_measure,,5.98,2711.7890625
366.972476358,idle_measure,,5.98,2711.7890625
367.02247721,idle_measure,,5.98,2711.7890625
367.072477583,idle_measure,,5.98,2711.7890625
367.122487396,idle_measure,,5.98,2711.7890625
367.17247676,idle_measure,,5.98,2711.7890625
367.222710039,idle_measure,,5.98,2711.7890625
367.272505794,idle_measure,,5.98,2712.28125
367.322480246,idle_measure,,5.98,2712.28125
367.372480074,idle_measure,,5.98,2712.28125
367.422478239,idle_measure,,5.98,2712.28125
367.472475827,idle_measure,,5.98,2712.28125
367.522475773,idle_measure,,5.98,2712.28125
367.572475489,idle_measure,,5.98,2712.28125
367.622479493,idle_measure,,5.98,2712.28125
367.672475562,idle_measure,,5.98,2712.28125
367.722475214,idle_measure,,5.98,2712.28125
367.772475442,idle_measure,,5.98,2712.28125
367.822475542,idle_measure,,5.98,2712.28125
367.872478683,idle_measure,,5.98,2712.28125
367.922476415,idle_measure,,5.98,2712.28125
367.972475971,idle_measure,,5.98,2712.28125
368.022476904,idle_measure,,5.98,2712.28125
368.072476396,idle_measure,,5.98,2712.28125
368.1224772,idle_measure,,5.98,2712.28125
368.1724765,idle_measure,,5.98,2712.28125
