platform,target_fps,phase,sample_time_s,power_w
RTX 4090,30,idle_measure,2.7651330339722335,71.41
RTX 4090,30,idle_measure,2.7855046129843686,71.41
RTX 4090,30,idle_measure,2.805831034987932,71.41
RTX 4090,30,idle_measure,2.826192047999939,71.41
RTX 4090,30,idle_measure,2.8466045729874168,71.41
RTX 4090,30,idle_measure,2.8667486119957175,71.41
RTX 4090,30,idle_measure,2.8870516329770908,71.41
RTX 4090,30,idle_measure,2.9074018209939823,71.41
RTX 4090,30,idle_measure,2.9277140369813424,71.41
RTX 4090,30,idle_measure,2.9480121639790013,71.41
RTX 4090,30,idle_measure,2.9683260539895855,71.41
RTX 4090,30,idle_measure,2.9886903899896424,71.408
RTX 4090,30,idle_measure,3.0089696629729588,71.408
RTX 4090,30,idle_measure,3.029364590998739,71.408
RTX 4090,30,idle_measure,3.0496758509834763,71.408
RTX 4090,30,idle_measure,3.0699928419780917,71.408
RTX 4090,30,idle_measure,3.0903038719843607,71.408
RTX 4090,30,idle_measure,3.1106125699880067,71.408
RTX 4090,30,idle_measure,3.1309492079890333,71.408
RTX 4090,30,idle_measure,3.151223376975395,71.408
RTX 4090,30,idle_measure,3.1715741209918633,71.408
RTX 4090,30,idle_measure,3.191923294973094,71.408
RTX 4090,30,idle_measure,3.2122239299933426,71.408
RTX 4090,30,idle_measure,3.2325543529877905,71.408
RTX 4090,30,idle_measure,3.252969012974063,71.408
RTX 4090,30,idle_measure,3.273276083986275,71.408
RTX 4090,30,idle_measure,3.2936826539807953,71.408
RTX 4090,30,idle_measure,3.3139630399819,71.408
RTX 4090,30,idle_measure,3.3342726349947043,71.408
RTX 4090,30,idle_measure,3.3546066129929386,71.408
RTX 4090,30,idle_measure,3.3749539789860137,71.408
RTX 4090,30,idle_measure,3.395091421989491,71.408
RTX 4090,30,idle_measure,3.4153685419878457,71.408
RTX 4090,30,idle_measure,3.43569252899033,71.408
RTX 4090,30,idle_measure,3.456015335978009,71.408
RTX 4090,30,idle_measure,3.476336873980472,71.269
RTX 4090,30,idle_measure,3.4966660709760617,71.269
RTX 4090,30,idle_measure,3.516942639980698,71.269
RTX 4090,30,idle_measure,3.537264681974193,71.269
RTX 4090,30,idle_measure,3.557555966981454,71.269
RTX 4090,30,idle_measure,3.5778692869935185,71.269
RTX 4090,30,idle_measure,3.598013185983291,71.269
RTX 4090,30,idle_measure,3.6182820449757855,71.269
RTX 4090,30,idle_measure,3.6385979919868987,71.269
RTX 4090,30,idle_measure,3.6589265009970404,71.269
RTX 4090,30,idle_measure,3.679249266977422,71.269
RTX 4090,30,idle_measure,3.6996044959814753,71.269
RTX 4090,30,idle_measure,3.719943362986669,71.269
RTX 4090,30,idle_measure,3.7402628009731416,71.269
RTX 4090,30,idle_measure,3.7605828769737855,71.269
RTX 4090,30,idle_measure,3.7808867689745966,71.269
RTX 4090,30,idle_measure,3.8011461129935924,71.269
RTX 4090,30,idle_measure,3.8214501419861335,71.269
RTX 4090,30,idle_measure,3.841764233977301,71.269
RTX 4090,30,idle_measure,3.862115021998761,71.269
RTX 4090,30,idle_measure,3.8823310539883096,71.269
RTX 4090,30,idle_measure,3.9025715779862367,71.269
RTX 4090,30,idle_measure,3.9228867959755007,71.269
RTX 4090,30,idle_measure,3.943197448999854,71.269
RTX 4090,30,idle_measure,3.9635169329994824,71.269
RTX 4090,30,idle_measure,3.983799380977871,71.286
RTX 4090,30,idle_measure,4.004073632997461,71.286
RTX 4090,30,idle_measure,4.0243813220004085,71.286
RTX 4090,30,idle_measure,4.044706424989272,71.286
RTX 4090,30,idle_measure,4.065018872992368,71.286
RTX 4090,30,idle_measure,4.085340489982627,71.286
RTX 4090,30,idle_measure,4.1056844249833375,71.286
RTX 4090,30,idle_measure,4.125985718972515,71.286
RTX 4090,30,idle_measure,4.14629863697337,71.286
RTX 4090,30,idle_measure,4.166618225979619,71.286
RTX 4090,30,idle_measure,4.186953979980899,71.286
RTX 4090,30,idle_measure,4.207278695976129,71.286
RTX 4090,30,idle_measure,4.227601578983013,71.286
RTX 4090,30,idle_measure,4.247983855981147,71.286
RTX 4090,30,idle_measure,4.268302212993149,71.286
RTX 4090,30,idle_measure,4.2886179339839146,71.286
RTX 4090,30,idle_measure,4.308947419980541,71.286
RTX 4090,30,idle_measure,4.329276583972387,71.286
RTX 4090,30,idle_measure,4.349601734982571,71.286
RTX 4090,30,idle_measure,4.369840818981174,71.286
RTX 4090,30,idle_measure,4.390166516997851,71.286
RTX 4090,30,idle_measure,4.410490118985763,71.286
RTX 4090,30,idle_measure,4.430891731986776,71.286
RTX 4090,30,idle_measure,4.451195552974241,71.286
RTX 4090,30,idle_measure,4.471553340990795,71.5
RTX 4090,30,idle_measure,4.491873762977775,71.5
RTX 4090,30,idle_measure,4.512188531982247,71.5
RTX 4090,30,idle_measure,4.532494808983756,71.5
RTX 4090,30,idle_measure,4.552796307980316,71.5
RTX 4090,30,idle_measure,4.573153031000402,71.5
RTX 4090,30,idle_measure,4.593482371972641,71.5
RTX 4090,30,idle_measure,4.613909109990345,71.5
RTX 4090,30,idle_measure,4.634198069979902,71.5
RTX 4090,30,idle_measure,4.654566943994723,71.5
RTX 4090,30,idle_measure,4.674898622994078,71.5
RTX 4090,30,idle_measure,4.695214398991084,71.5
RTX 4090,30,idle_measure,4.715526622981997,71.5
RTX 4090,30,idle_measure,4.735847366973758,71.5
RTX 4090,30,idle_measure,4.756165971979499,71.5
RTX 4090,30,idle_measure,4.776529008988291,71.5
RTX 4090,30,idle_measure,4.796858379995683,71.5
RTX 4090,30,idle_measure,4.817168758978369,71.5
RTX 4090,30,idle_measure,4.8376028159982525,71.5
RTX 4090,30,idle_measure,4.8579313999798615,71.5
RTX 4090,30,idle_measure,4.8782515339844394,71.5
RTX 4090,30,idle_measure,4.898386850982206,71.5
RTX 4090,30,idle_measure,4.9186917359766085,71.5
RTX 4090,30,idle_measure,4.938965562992962,71.5
RTX 4090,30,idle_measure,4.959293150983285,71.5
RTX 4090,30,idle_measure,4.9796155699878,71.703
RTX 4090,30,idle_measure,4.99983952997718,71.703
RTX 4090,30,idle_measure,5.020159134990536,71.703
RTX 4090,30,idle_measure,5.040421362995403,71.703
RTX 4090,30,idle_measure,5.060703852999723,71.703
RTX 4090,30,idle_measure,5.081016549986089,71.703
RTX 4090,30,idle_measure,5.10116844298318,71.703
RTX 4090,30,idle_measure,5.121436490997439,71.703
RTX 4090,30,idle_measure,5.1417230859806295,71.703
RTX 4090,30,idle_measure,5.162059859983856,71.703
