fitted,residual
4.330796267512350634e-04,-3.186387087824850634e-04
3.105795386946935167e-04,-1.961386207259435167e-04
3.665113442154597123e-04,-3.817701332779597123e-04
3.181918911570612882e-04,-1.884921841258112882e-04
3.865575948261562589e-04,-4.094457784199062589e-04
-2.038270271237261017e-04,-1.394957267825238983e-04
-6.242173871791041433e-04,-9.022358914645856737e-06
-1.036887638997522221e-03,2.217816634127222145e-05
-9.612119716935393346e-04,-2.747499423689606654e-04
-5.050716838888605299e-04,-1.815738239236394701e-04
-3.956396062804477592e-04,-6.975346012580224079e-05
-7.534358114821678104e-04,-1.544621377365821896e-04
-8.032781233043309816e-04,7.085624830433098157e-05
-5.545979721587860787e-04,-1.091593520599639213e-04
-6.660119759851351479e-04,-2.037390005773648521e-04
-7.261267826672399440e-04,-1.359947993640100560e-04
-9.805900914683493216e-04,-2.858894007191506784e-04
-1.054702286497652018e-03,-2.117772056898479822e-04
-8.209670043653637854e-04,-2.547776245408862146e-04
-9.459286884235205148e-04,-3.586977764202294852e-04
-6.347773157263365655e-04,-3.875615514611634345e-04
1.337657919693828598e-04,-2.100597372818828598e-04
4.181392501966944603e-04,-3.876216720716944603e-04
4.064168186502051814e-04,-1.470174045877051814e-04
3.620875440583388311e-04,-1.332057081208388311e-04
3.865302021898893979e-04,-1.042426045336393979e-04
-7.329900413346649530e-06,-1.147404120866533505e-04
-3.120229613535045222e-04,-4.738046753652454778e-04
-5.815224953679432865e-04,-5.018515280695567135e-04
-9.034822362671940626e-05,-1.385336123107805937e-04
1.678804578721494549e-04,-3.818075084089945495e-05
2.242915210614937818e-04,-5.644484137399378185e-05
2.199162717566313988e-04,3.185374777461860121e-05
1.507498144636712186e-04,-7.445586915117121860e-05
-9.095927912988803444e-06,-3.952619822432611695e-04
-3.351355192390733642e-04,-3.286218049796766358e-04
-4.359325106972136710e-04,-3.041187588340363290e-04
3.971488164939551832e-05,-2.914849011806455183e-04
3.763603257303534512e-04,-1.932548569803534512e-04
6.652952012929080070e-04,-1.388669786366580070e-04
6.556324127188061391e-04,-1.476327209380613910e-05
7.202175031101099890e-04,-3.387477765476099890e-04
5.720788931968101955e-04,-3.355676627280601955e-04
3.884471013030292141e-04,-1.900828434905292141e-04
3.655424195864439359e-04,-3.045072633364439359e-04
3.163317567787488158e-04,-2.781847841224988158e-04
4.037359578154265912e-04,-5.029180867216765912e-04
