py_depth,my_depth
-3.894113439654237323e-04,-5.187988281250000000e-04
-1.293245916232652136e-04,3.051757812500000000e-05
-1.603572555069097884e-04,-2.670288085937500000e-04
-3.076035820049339816e-04,-3.433227539062500000e-04
-1.695425991292802425e-04,-3.967285156250000000e-04
-1.392809861617479194e-04,-3.662109375000000000e-04
-3.034226414725539177e-04,-4.882812500000000000e-04
-2.624207852804358093e-04,-3.280639648437500000e-04
-3.087230816382029305e-04,-5.798339843750000000e-04
-3.556445604245402287e-04,-6.103515625000000000e-04
-2.721423293387653089e-04,-5.340576171875000000e-04
-2.518111050483955518e-04,-4.501342773437500000e-04
-2.085393660477546246e-04,-6.561279296875000000e-04
3.483418326583282505e-04,2.059936523437500000e-04
4.275533805817236920e-04,6.866455078125000000e-05
4.323518264689578134e-04,3.280639648437500000e-04
4.451120325471891225e-04,1.373291015625000000e-04
3.516544022757121086e-04,1.602172851562500000e-04
-7.878010092520466401e-05,-2.670288085937500000e-04
-3.614444880875126173e-04,-6.408691406250000000e-04
-8.424912251163275512e-05,-5.340576171875000000e-04
1.420789546280424860e-04,-1.525878906250000000e-05
1.127548986258825666e-04,3.051757812500000000e-05
1.839590511364460755e-04,7.629394531250000000e-06
1.777078320575591216e-04,-6.103515625000000000e-05
5.719195282673553669e-06,-3.814697265625000000e-05
-1.640845451458652134e-04,-3.356933593750000000e-04
-1.007859943180776537e-04,-5.722045898437500000e-04
1.903152377561378398e-05,-3.738403320312500000e-04
9.259847288489971907e-05,-1.068115234375000000e-04
3.544613891506796506e-04,1.144409179687500000e-04
4.288715924843877715e-04,2.059936523437500000e-04
2.844970995536767549e-04,1.754760742187500000e-04
2.389820441933140980e-04,-1.296997070312500000e-04
3.735727302580384135e-04,1.296997070312500000e-04
3.637029209892728371e-04,9.918212890625000000e-05
3.844810791614787981e-04,6.103515625000000000e-05
4.236070397775539703e-04,1.220703125000000000e-04
2.985004283195417723e-04,4.577636718750000000e-05
-9.004394076923618608e-05,-3.128051757812500000e-04
-3.327654657230002611e-04,-1.754760742187500000e-04
-8.218465015226459952e-04,-8.239746093750000000e-04
-6.241113382442494513e-04,-7.171630859375000000e-04
-2.441495963630322362e-04,-2.136230468750000000e-04
-2.258341329025565067e-04,-2.212524414062500000e-04
-4.347197940808280800e-04,-4.119873046875000000e-04
-4.192786216987455777e-04,-4.806518554687500000e-04
-2.032569680839965860e-04,-4.501342773437500000e-04
-3.630514896467374126e-04,-7.324218750000000000e-04
-4.414308249593764527e-04,-4.806518554687500000e-04
-6.018426067429318320e-04,-8.010864257812500000e-04
-5.713624055131024358e-04,-8.468627929687500000e-04
-4.069137631541992978e-04,-6.866455078125000000e-04
-4.344457631557690396e-04,-7.171630859375000000e-04
-3.737656911757940856e-04,-7.553100585937500000e-04
2.569168740800460184e-04,2.059936523437500000e-04
4.388885905598868169e-04,6.103515625000000000e-05
4.365282342767371078e-04,3.967285156250000000e-04
4.432988228420642980e-04,1.907348632812500000e-04
4.593926062903341085e-04,2.288818359375000000e-04
2.480568853512393952e-05,-2.975463867187500000e-04
-3.713592346967222683e-04,-8.010864257812500000e-04
-3.235016393620838027e-04,-7.553100585937500000e-04
1.733872902246800889e-04,-3.814697265625000000e-05
1.228295916481667916e-04,9.155273437500000000e-05
2.246437925748565316e-04,2.288818359375000000e-05
1.470438724135217357e-04,6.103515625000000000e-05
1.274949155983357788e-04,-7.629394531250000000e-05
-2.050515928550342832e-04,-4.653930664062500000e-04
-2.525019893028611221e-04,-6.942749023437500000e-04
-9.964644336890726294e-05,-4.653930664062500000e-04
